,University,LatinAmericaRank,GlobalRank,GlobalScore,Country,City,PageNumber,USN_URL,Address,Webpage,Total number of students,Number of international students,Total number of academic staff,Number of international staff,Number of undergraduate degrees awarded,Number of master's degrees awarded,Number of doctoral degrees awarded,Number of research only staff,Number of new undergraduate students,Number of new master's students,Number of new doctoral students
35,National University of Cordoba,36,875,36.8,Argentina,Córdoba,4,https://www.usnews.com/education/best-global-universities/national-university-of-cordoba-502638,"Av. Haya de la Torre s/n - Pabellón Argentina Córdoba, X5000GYA Argentina",http://www.unc.edu.ar/english,,,,,,,,,,,
36,Universidade Federal da Bahia,37,889,36.5,Brazil,"Cruz Das Almas, Bahia",4,https://www.usnews.com/education/best-global-universities/universidade-federal-da-bahia-528977,"Reconcavo da Bahia Cruz Das Almas, Bahia Brazil",http://www.ufba.br/,,,,,,,,,,,
37,Universidade Federal Fluminense,38,902,36.2,Brazil,"Niterói, Rio de Janerio",4,https://www.usnews.com/education/best-global-universities/universidade-federal-fluminense-506244,"Rua Miguel de Frias, 9 - Icaraí Niterói, Rio de Janerio 24220-900 Brazil",http://www.uff.br/,,,,,,,,,,,
38,Universidade Federal do Rio Grande do Norte,39,914,35.8,Brazil,Natal/RN,4,https://www.usnews.com/education/best-global-universities/universidade-federal-do-rio-grande-do-norte-529407,CEP 59078-970 Natal/RN Brazil,http://www.ufrn.br/,,,,,,,,,,,
39,Federal University of Vicosa,40,963,34,Brazil,"Viçosa, Minas Gerais",4,https://www.usnews.com/education/best-global-universities/federal-university-of-vicosa-503863,"Avenida Peter Henry Rolfs, s/n Viçosa, Minas Gerais 36570-900 Brazil",http://www.ufv.br/ ,,,,,,,,,,,
40,Universidad Austral de Chile,40,963,34,Chile,"Valdivia, Región de los Ríos",5,https://www.usnews.com/education/best-global-universities/universidad-austral-de-chile-529048,"Independencia 641 Valdivia, Región de los Ríos Chile",http://www.uach.cl/,,,,,,,,,,,
41,Metropolitan Autonomous University,42,1014,32.4,Mexico,"Ciudad de México, Distrito Federal",5,https://www.usnews.com/education/best-global-universities/metropolitan-autonomous-university-500675,"Prol. Canal de Miramontes 3855, Coapa, Ex de San Juan de Dios Ciudad de México, Distrito Federal 14387 Mexico",http://www.uam.mx/,"57,827",270,"2,888",171,"5,427",507,199,"2,753","10,161",649,315
42,Universidade Federal de Goias,43,1041,31.7,Brazil,Goiania,5,https://www.usnews.com/education/best-global-universities/universidade-federal-de-goias-529175,"Avenida Esperanca s/n Goiania, 74690-900 Brazil",http://www.ufg.br,,,,,,,,,,,
43,Universidad Michoacana de San Nicolas de Hidalgo,44,1053,31.4,Mexico,Morelia,5,https://www.usnews.com/education/best-global-universities/universidad-michoacana-de-san-nicolas-de-hidalgo-529330,"Avenida Francisco J. Mugica S/N Morelia, 58030 Mexico",http://www.umich.mx,,,,,,,,,,,
44,Universidade Federal de Santa Maria (UFSM),45,1063,31.2,Brazil,"Santa Maria, Rio Grande do Sul",5,https://www.usnews.com/education/best-global-universities/universidade-federal-de-santa-maria-ufsm-500881,"Av. Roraima, 1000 - Camobi Santa Maria, Rio Grande do Sul 97105-900 Brazil",http://site.ufsm.br/,,,,,,,,,,,
45,Universidad Andres Bello,46,1072,31,Chile,Santiago,5,https://www.usnews.com/education/best-global-universities/universidad-andres-bello-529202,"Republica 237, 4 Piso Santiago Chile",http://www.unab.cl/en/,,,,,,,,,,,
46,Universidad de Santiago de Chile,47,1081,30.8,Chile,Santiago,5,https://www.usnews.com/education/best-global-universities/universidad-de-santiago-de-chile-529177,Avenida Libertador Bernardo O'Higgins 3363 Santiago Chile,http://www.usach.cl/,,,,,,,,,,,
47,Universidad de Valparaiso,48,1108,29.9,Chile,"Valparaiso, Valparaiso",5,https://www.usnews.com/education/best-global-universities/universidad-de-valparaiso-529585,"Blanco 951 Valparaiso, Valparaiso Chile",https://www.uv.cl/,,,,,,,,,,,
48,National University of Rosario,49,1112,29.8,Argentina,Santa Fe,5,https://www.usnews.com/education/best-global-universities/national-university-of-rosario-529046,Maipu 1065 Santa Fe Argentina,http://www.unr.edu.ar/english/,,,,,,,,,,,
49,Pontificia Universidade Catolica Do Rio Grande Do Sul,50,1119,29.6,Brazil,"Porto Alegre, Rio Grande do Sul",5,https://www.usnews.com/education/best-global-universities/pontificia-universidade-catolica-do-rio-grande-do-sul-529583,"Ipiranga Avenue, 6681 Partenon  Porto Alegre, Rio Grande do Sul 90619-900 Brazil",http://www.pucrs.br/en/,"16,812",62,734,14,"3,004",331,207,371,"4,272",418,234
50,Pontificia Universidad Catolica de Valparaiso,51,1133,29.1,Chile,"Valparaiso, Valparaiso",6,https://www.usnews.com/education/best-global-universities/pontificia-universidad-catolica-de-valparaiso-529219,"Avenida Brasil 2950 Valparaiso, Valparaiso Chile",http://www.pucv.cl/,"15,935",136,652,53,"2,021",392,52,324,"3,666",362,60
51,Universidad de Guadalajara,51,1133,29.1,Mexico,Guadalajara,6,https://www.usnews.com/education/best-global-universities/universidad-de-guadalajara-529203,"Juarez Avenue No. 976  Col. Centro Guadalajara, 44100 Mexico",http://www.udg.mx/en/welcome-university-guadalajara,,,,,,,,,,,
52,Universidad de La Frontera,53,1152,28.7,Chile,Temuco,6,https://www.usnews.com/education/best-global-universities/universidad-de-la-frontera-529409,Avenida Francisco Salazar Temuco Chile,https://www.ufro.cl/,,,,,,,,,,,
53,Universidad Autonoma de Nuevo Leon,54,1189,27.5,Mexico,Monterrey,6,https://www.usnews.com/education/best-global-universities/universidad-autonoma-de-nuevo-leon-529185,Pedro de Alba s/n Monterrey Mexico,http://www.uanl.mx/en,,,,,,,,,,,
54,Universidade Federal da Paraiba,55,1203,27.2,Brazil,Joao Pessoa,6,https://www.usnews.com/education/best-global-universities/universidade-federal-da-paraiba-529248,Joao Pessoa Brazil,http://www.ufpb.br,,,,,,,,,,,
55,Universidade Federal do Para,56,1205,27.1,Brazil,Belem,6,https://www.usnews.com/education/best-global-universities/universidade-federal-do-para-529218,Rua Augusto Correa Belem Brazil,http://portal.ufpa.br,,,,,,,,,,,
56,Universidad del Valle,57,1212,26.9,Colombia,Cali,6,https://www.usnews.com/education/best-global-universities/universidad-del-valle-529595,Calle 13 No 100-00 Cali Colombia,https://www.univalle.edu.co/,,,,,,,,,,,
57,University Nacional Cuyo Mendoza,58,1215,26.6,Argentina,Mendoza,6,https://www.usnews.com/education/best-global-universities/university-nacional-cuyo-mendoza-529408,University Center Mendoza  Argentina,http://www.uncuyo.edu.ar/,,,,,,,,,,,
58,Universidad Catolica del Norte,59,1218,26.5,Chile,"Antofagasta, Antofagasta",6,https://www.usnews.com/education/best-global-universities/universidad-catolica-del-norte-529588,"Av. Angamos 0610 Antofagasta, Antofagasta Chile",http://www.ucn.cl/home/,,,,,,,,,,,
59,Pontificia Universidade Catolica do Parana,60,1233,26.1,Brazil,Curitiba,6,https://www.usnews.com/education/best-global-universities/pontificia-universidade-catolica-do-parana-529597,"Rua Imaculada Conceição, 1155 Curitiba, 80215-901 Brazil",https://www.pucpr.br/,,,,,,,,,,,
60,Universidade Estadual de Londrina,61,1237,26,Brazil,"Londrina, Parana",7,https://www.usnews.com/education/best-global-universities/universidade-estadual-de-londrina-529115,"Rodovia Celso Garcia Cid Londrina, Parana 86057-970 Brazil",http://www.uel.br/portal/en/,,,,,,,,,,,
61,National University of Mar del Plata,62,1241,25.9,Argentina,Mar del Plata,7,https://www.usnews.com/education/best-global-universities/national-university-of-mar-del-plata-529217,"Diagonal J. B. Alberdi 2695 Mar del Plata, 7600 Argentina",http://www.mdp.edu.ar/,,,,,,,,,,,
62,Universidade Federal de Uberlandia,63,1245,25.8,Brazil,Uberlandia,7,https://www.usnews.com/education/best-global-universities/universidade-federal-de-uberlandia-529244,"R. Benjamin Constant, 1286 - Barrio Aparecida Uberlandia, 38400-678 Brazil",http://www.ufu.br/,,,,,,,,,,,
63,Universidade Federal de Lavras,64,1249,25.6,Brazil,"Lavras, Southern Minas Gerais",7,https://www.usnews.com/education/best-global-universities/universidade-federal-de-lavras-529105,"Campus Universitario Lavras, Southern Minas Gerais 37200-000 Brazil",http://ufla.br/en/ufla/,,,,,,,,,,,
64,Universidad de Guanajuato,65,1255,25.5,Mexico,Guanajuato,7,https://www.usnews.com/education/best-global-universities/universidad-de-guanajuato-529416,Lascurain de Retana No. 5 Guanajuato Mexico,http://www.ugto.mx/en/,,,,,,,,,,,
